subNum	BN	TN	TotalTrialNum	targetForce1	targetForce2	targetForce3	targetForce4	targetForce5	endForce1	endForce2	endForce3	endForce4	endForce5	endForcePurturbed1	endForcePurturbed2	endForcePurturbed3	endForcePurturbed4	endForcePurturbed5	purturbation1	purturbation2	purturbation3	purturbation4	purturbation5	forceGain	trialCorr	trialErrorType	num_targets
1	1	1	1	-2.0	-2.0	0.0	-2.0	-2.0	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	0.0	0.0	0.0	0.0	0.0	1.0	0	2	4
1	1	2	2	-2.0	-2.0	0.0	-2.0	-2.0	-4.056	-4.673	-2.611	-1.452	-2.025	-5.0	-3.886	-2.291	-1.208	-2.408	-0.94	0.79	0.32	0.24	-0.38	1.0	1	0	4
1	1	3	3	-2.0	-2.0	0.0	-2.0	-2.0	-1.075	-1.07	-0.826	-0.352	-0.729	-1.394	-0.54	-0.463	-0.113	-0.387	-0.32	0.53	0.36	0.24	0.34	1.0	1	0	4
1	1	4	4	-2.0	-2.0	0.0	-2.0	-2.0	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	-6.2774385622041925e+66	0.0	0.0	0.0	0.0	0.0	1.0	0	2	4
1	1	5	5	-2.0	-2.0	0.0	-2.0	-2.0	-1.654	-2.745	-1.78	-0.903	-1.343	-1.272	-3.242	-1.403	-1.56	-1.138	0.38	-0.5	0.38	-0.66	0.21	1.0	1	0	4
1	1	6	6	-2.0	-2.0	0.0	-2.0	-2.0	-2.108	-2.402	-1.584	-1.082	-1.513	-1.309	-2.155	-1.262	-1.358	-1.326	0.8	0.25	0.32	-0.28	0.19	1.0	1	0	4
1	1	7	7	-2.0	-2.0	0.0	-2.0	-2.0	-1.727	-2.102	-1.512	-0.835	-1.497	-1.986	-1.654	-1.075	0.146	-1.435	-0.26	0.45	0.44	0.98	0.06	1.0	1	0	4
1	1	8	8	-2.0	-2.0	0.0	-2.0	-2.0	-1.909	-2.419	-1.792	-1.117	-1.285	-2.346	-2.379	-2.271	-2.463	-0.762	-0.44	0.04	-0.48	-1.35	0.52	1.0	1	0	4
1	1	9	9	-2.0	-2.0	0.0	-2.0	-2.0	-1.446	-1.753	-1.037	-0.819	-1.305	-1.321	-2.228	-0.75	-0.666	-1.61	0.12	-0.48	0.29	0.15	-0.31	1.0	1	0	4
1	1	10	10	-2.0	-2.0	0.0	-2.0	-2.0	-1.856	-2.07	-1.408	-1.046	-1.186	-2.029	-1.006	-1.352	-1.127	-0.624	-0.17	1.06	0.06	-0.08	0.56	1.0	1	0	4
1	1	11	11	-2.0	-2.0	0.0	-2.0	-2.0	-1.751	-1.82	-1.406	-1.299	-1.308	-1.822	-1.562	-1.627	-0.923	-0.662	-0.07	0.26	-0.22	0.38	0.65	1.0	1	0	4
1	1	12	12	-2.0	-2.0	0.0	-2.0	-2.0	-1.558	-2.781	-1.825	-0.926	-1.164	-1.681	-3.111	-1.7	-1.285	-0.912	-0.12	-0.33	0.12	-0.36	0.25	1.0	1	0	4
1	1	13	13	-2.0	-2.0	0.0	-2.0	-2.0	-2.051	-2.641	-1.84	-1.244	-1.287	-2.952	-2.666	-2.014	-0.706	-1.789	-0.9	-0.02	-0.17	0.54	-0.5	1.0	1	0	4
1	1	14	14	-2.0	-2.0	0.0	-2.0	-2.0	-1.946	-2.265	-1.254	-1.016	-1.054	-1.579	-2.218	-1.28	-0.795	-0.171	0.37	0.05	-0.03	0.22	0.88	1.0	1	0	4
1	1	15	15	-2.0	-2.0	0.0	-2.0	-2.0	-1.356	-1.982	-1.173	-0.784	-1.071	-1.608	-2.18	-1.121	-0.627	-1.139	-0.25	-0.2	0.05	0.16	-0.07	1.0	1	0	4
1	1	16	16	-2.0	-2.0	0.0	-2.0	-2.0	-1.462	-2.588	-2.226	-1.449	-1.454	-1.317	-3.373	-3.078	-1.476	-1.439	0.15	-0.79	-0.85	-0.03	0.01	1.0	1	0	4
1	1	17	17	-2.0	-2.0	0.0	-2.0	-2.0	-1.736	-3.005	-2.339	-1.534	-1.449	-1.049	-3.349	-2.703	-1.178	-1.726	0.69	-0.34	-0.36	0.36	-0.28	1.0	1	0	4
1	1	18	18	-2.0	-2.0	0.0	-2.0	-2.0	-1.992	-2.294	-1.542	-1.066	-1.157	-1.913	-2.516	-1.725	-0.868	-1.49	0.08	-0.22	-0.18	0.2	-0.33	1.0	1	0	4
1	1	19	19	-2.0	-2.0	0.0	-2.0	-2.0	-1.632	-1.977	-1.688	-1.29	-0.943	-2.43	-1.371	-2.002	-1.411	-1.162	-0.8	0.61	-0.31	-0.12	-0.22	1.0	1	0	4
1	1	20	20	-2.0	-2.0	0.0	-2.0	-2.0	-1.595	-2.568	-2.075	-1.276	-1.314	-2.07	-2.416	-1.791	-2.152	-0.968	-0.47	0.15	0.28	-0.88	0.35	1.0	1	0	4
1	1	21	21	-2.0	-2.0	0.0	-2.0	-2.0	-1.605	-2.707	-2.234	-1.597	-0.951	-0.996	-2.0	-1.911	-1.973	-1.296	0.61	0.71	0.32	-0.38	-0.35	1.0	1	0	4
1	1	22	22	-2.0	-2.0	0.0	-2.0	-2.0	-1.655	-2.114	-2.126	-1.485	-0.69	-1.451	-1.737	-3.044	-1.375	-1.189	0.2	0.38	-0.92	0.11	-0.5	1.0	1	0	4
1	1	23	23	-2.0	-2.0	0.0	-2.0	-2.0	-2.158	-1.685	-1.395	-1.655	-1.091	-2.364	-1.99	-1.284	-1.01	-0.972	-0.21	-0.3	0.11	0.64	0.12	1.0	1	0	4
1	1	24	24	-2.0	-2.0	0.0	-2.0	-2.0	-1.708	-2.206	-1.539	-1.152	-0.799	-0.853	-1.882	-1.992	-1.462	-1.233	0.86	0.32	-0.45	-0.31	-0.43	1.0	1	0	4
1	1	25	25	-2.0	-2.0	0.0	-2.0	-2.0	-1.345	-1.603	-1.988	-2.188	-1.484	-1.61	-2.021	-1.716	-1.941	-0.596	-0.27	-0.42	0.27	0.25	0.89	1.0	1	0	4
1	1	26	26	-2.0	-2.0	0.0	-2.0	-2.0	-1.626	-1.749	-1.974	-1.658	-1.17	-0.869	-1.516	-1.985	-1.854	-2.324	0.76	0.23	-0.01	-0.2	-1.15	1.0	1	0	4
1	1	27	27	-2.0	-2.0	0.0	-2.0	-2.0	-1.767	-2.392	-1.79	-1.434	-1.174	-2.323	-2.726	-2.284	-1.433	-0.902	-0.56	-0.33	-0.49	0.0	0.27	1.0	1	0	4
1	1	28	28	-2.0	-2.0	0.0	-2.0	-2.0	-1.606	-2.222	-1.511	-1.402	-1.337	-1.471	-2.85	-1.791	-1.701	-1.253	0.14	-0.63	-0.28	-0.3	0.08	1.0	1	0	4
1	1	29	29	-2.0	-2.0	0.0	-2.0	-2.0	-1.08	-1.792	-1.294	-0.894	-0.822	-1.569	-1.577	-1.611	-0.497	-0.435	-0.49	0.22	-0.32	0.4	0.39	1.0	1	0	4
1	1	30	30	-2.0	-2.0	0.0	-2.0	-2.0	-1.567	-1.652	-1.567	-1.946	-1.676	-1.432	-1.586	-2.066	-1.9	-2.461	0.14	0.07	-0.5	0.05	-0.78	1.0	1	0	4
1	2	1	31	-2.0	-2.0	-2.0	0.0	0.0	-2.802	-2.849	-3.015	-0.038	-0.043	-2.567	-1.473	-3.361	-0.615	-0.142	0.23	1.38	-0.35	-0.58	-0.1	1.0	1	0	3
1	2	2	32	-2.0	-2.0	-2.0	0.0	0.0	-2.051	-1.979	-2.816	-0.056	-0.007	-2.127	-2.325	-3.07	-0.156	0.632	-0.08	-0.35	-0.25	-0.1	0.64	1.0	1	0	3
1	2	3	33	-2.0	-2.0	-2.0	0.0	0.0	-1.829	-1.729	-2.238	0.01	-0.026	-1.447	-1.879	-2.572	-1.355	-0.942	0.38	-0.15	-0.33	-1.36	-0.92	1.0	1	0	3
1	2	4	34	-2.0	-2.0	-2.0	0.0	0.0	-1.629	-0.972	-2.068	-0.029	-0.05	-1.059	-1.139	-2.66	-0.37	0.3	0.57	-0.17	-0.59	-0.34	0.35	1.0	1	0	3
1	2	5	35	-2.0	-2.0	-2.0	0.0	0.0	-2.081	-2.799	-1.967	0.0	-0.028	-2.48	-3.294	-2.627	0.171	0.9	-0.4	-0.5	-0.66	0.17	0.93	1.0	1	0	3
