subNum	BN	TN	TotalTrialNum	chord	targetVisible	forceGain	targetForce	endForce	actualEndForce	trialCorr	trialErrorType	day
1	1	1	1	1	0	1.0	-3.0	-4.913	-4.913	1	0	1
1	1	2	2	1	0	1.0	-3.0	-4.137	-4.137	1	0	1
1	1	3	3	1	0	1.0	-3.0	-4.616	-4.616	1	0	1
1	1	4	4	1	0	1.0	-3.0	-3.528	-3.528	1	0	1
1	1	5	5	1	0	1.0	-3.0	-3.135	-3.135	1	0	1
1	1	6	6	1	0	1.0	-3.0	-3.108	-3.108	1	0	1
1	1	7	7	1	0	1.0	-3.0	-2.839	-2.839	1	0	1
1	1	8	8	1	0	1.0	-3.0	-2.371	-2.371	1	0	1
1	1	9	9	1	0	1.0	-3.0	-6.2774385622041925e+66	-6.2774385622041925e+66	0	2	1
1	1	10	10	1	0	1.0	-3.0	-3.755	-3.755	1	0	1
1	1	11	11	1	0	1.0	-3.0	-3.968	-3.968	1	0	1
1	1	12	12	1	0	1.0	-3.0	-3.747	-3.747	1	0	1
1	1	13	13	1	0	1.0	-3.0	-3.238	-3.238	1	0	1
1	1	14	14	1	0	1.0	-3.0	-3.01	-3.01	1	0	1
1	1	15	15	1	0	1.0	-3.0	-3.202	-3.202	1	0	1
1	1	16	16	1	0	1.0	-3.0	-3.638	-3.638	1	0	1
1	1	17	17	1	0	1.0	-3.0	-2.712	-2.712	1	0	1
1	1	18	18	1	0	1.0	-3.0	-2.703	-2.703	1	0	1
1	1	19	19	1	0	1.0	-3.0	-3.187	-3.187	1	0	1
1	1	20	20	1	0	1.0	-3.0	-3.147	-3.147	1	0	1
1	1	21	21	1	0	1.0	-3.0	-3.351	-3.351	1	0	1
1	1	22	22	1	0	1.0	-3.0	-3.423	-3.423	1	0	1
1	1	23	23	1	0	1.0	-3.0	-2.784	-2.784	1	0	1
1	1	24	24	1	0	1.0	-3.0	-3.04	-3.04	1	0	1
1	1	25	25	1	0	1.0	-3.0	-2.74	-2.74	1	0	1
1	1	26	26	1	0	1.0	-3.0	-3.599	-3.599	1	0	1
1	1	27	27	1	0	1.0	-3.0	-4.18	-4.18	1	0	1
1	1	28	28	1	0	1.0	-3.0	-4.743	-4.743	1	0	1
1	1	29	29	1	0	1.0	-3.0	-3.093	-3.093	1	0	1
1	1	30	30	1	0	1.0	-3.0	-4.005	-4.005	1	0	1
1	1	31	31	1	0	1.0	-3.0	-4.766	-4.766	1	0	1
1	1	32	32	1	0	1.0	-3.0	-3.713	-3.713	1	0	1
1	1	33	33	1	0	1.0	-3.0	-3.005	-3.005	1	0	1
1	1	34	34	1	0	1.0	-3.0	-4.116	-4.116	1	0	1
1	1	35	35	1	0	1.0	-3.0	-3.935	-3.935	1	0	1
1	1	36	36	1	0	1.0	-3.0	-3.901	-3.901	1	0	1
1	1	37	37	1	0	1.0	-3.0	-3.496	-3.496	1	0	1
1	1	38	38	1	0	1.0	-3.0	-3.014	-3.014	1	0	1
1	1	39	39	1	0	1.0	-3.0	-2.869	-2.869	1	0	1
1	1	40	40	1	0	1.0	-3.0	-3.788	-3.788	1	0	1
1	2	1	41	1	1	0.66	-3.0	-5.047	-7.6469696969696965	1	0	1
1	2	2	42	1	1	0.66	-3.0	-2.081	-3.153030303030303	1	0	1
1	2	3	43	1	1	0.66	-3.0	-2.232	-3.381818181818182	1	0	1
1	2	4	44	1	1	0.66	-3.0	-2.206	-3.3424242424242423	1	0	1
1	2	5	45	1	1	0.66	-3.0	-3.673	-5.5651515151515145	1	0	1
1	2	6	46	1	1	0.66	-3.0	-3.674	-5.566666666666666	1	0	1
1	2	7	47	1	1	0.66	-3.0	-3.059	-4.634848484848485	1	0	1
1	2	8	48	1	1	0.66	-3.0	-2.83	-4.287878787878788	1	0	1
1	2	9	49	1	1	0.66	-3.0	-3.084	-4.672727272727273	1	0	1
1	2	10	50	1	1	0.66	-3.0	-3.28	-4.969696969696969	1	0	1
1	2	11	51	1	1	0.66	-3.0	-2.584	-3.915151515151515	1	0	1
1	2	12	52	1	1	0.66	-3.0	-3.078	-4.663636363636363	1	0	1
1	2	13	53	1	1	0.66	-3.0	-2.678	-4.057575757575758	1	0	1
1	2	14	54	1	1	0.66	-3.0	-3.354	-5.081818181818182	1	0	1
1	2	15	55	1	1	0.66	-3.0	-2.847	-4.3136363636363635	1	0	1
1	2	16	56	1	1	0.66	-3.0	-3.23	-4.893939393939394	1	0	1
1	2	17	57	1	1	0.66	-3.0	-3.23	-4.893939393939394	1	0	1
1	2	18	58	1	1	0.66	-3.0	-2.459	-3.7257575757575756	1	0	1
